,0
Breast Cancer / Carcinoma,"A lump in a breast, a change in breast shape, dimpling of the skin, fluid from the nipple, a newly inverted nipple, a red scaly patch of skin on the breast,"
Bronchitis,"Coughing up mucus, wheezing, shortness of breath, chest discomfort,"
Brucellosis,"fever, chills, loss of appetite, sweats, weakness, fatigue, Joint, muscle and back pain, Headache,"
Burns,"Red without blisters, Bone and tendon loss,"
Cancer,"Lump, abnormal bleeding, prolonged cough, unexplained weight loss, change in bowel movements,"
Carpal Tunnel Syndrome,"Numbness, tingling in the thumb, index, middle finger, and half of ring finger,"
Cavities,"Pain, tooth loss, difficulty eating,"
Cervical cancer,"none,"
Chalazion,"Red, non painful cyst in middle of the eyelid,"
Chickenpox,"Small, itchy blisters, headache, loss of appetite, tiredness, fever,"
Chikungunya Fever,"Fever, joint pain,"
Childhood Exotropia,"Nonaligned eyes,"
Cholera,"Large amounts of watery diarrhea, vomiting, muscle cramps,"
Chronic obstructive pulmonary disease (COPD),"Shortness of breath, chronic cough,"
Cleft Lip and Cleft Palate,"Opening in the upper lip that may extend into the nose or palate,"
Colorectal Cancer,"Blood in stool, change in bowel movements, unintentional weight loss, vomiting, fatigue,"
Computer Vision Syndrome,"Dry eyes, irritation, redness, discharge, blurred vision,"
Congenital anomalies (birth defects),"Physical disability, intellectual disability, developmental disability,"
Corneal Abrasion,"Eye pain, light sensitivity,"
Coronary Heart Disease,"Chest pain, shortness of breath,"
Coronavirus disease 2019 (COVID-19),"Fever, cough, fatigue, shortness of breath, vomiting, loss of taste or smell, some cases asymptomatic,"
Cough,"Runny nose, fever, cough,"
Crimean Congo haemorrhagic fever (CCHF),"Fever, muscle pains, headache, vomiting, diarrhea, bleeding into the skin,"
Deafness,"Decreased ability to hear,"
Dementia,"Decreased ability to think and remember, emotional problems, problems with language, decreased motivation,"
Dengue Fever,"Fever, headache, muscle and joint pain, rash,"
Diabetes Mellitus,"Frequent urination, Increased thirst, Increased hunger,"
Diabetic Retinopathy,"Often asymptomatic, but can cause spots in the eye and vision loss,"
Diarrhea,"Loose frequent bowel movements, dehydration,"
Diphtheria,"Sore throat, fever, barking cough,"
Distichiasis,"Eyelash, congenital heart defects and various vascular abnormalities,"
Down's Syndrome,"Delayed development, characteristic physical features, mild to moderate intellectual disability,"
Dracunculiasis (guinea-worm disease),"Painful blister that a long white string-like worm slowly crawls out of,"
Dyslexia and Ocular Features,"Trouble reading,"
Early pregnancy loss,"Vaginal bleeding with or without pain,"
Ebola Virus Disease (EVD),"Fever, sore throat, muscular pain, headaches, diarrhoea, bleeding,"
Eclampsia,"Seizures, high blood pressure,"
Ectopic pregnancy,"Abdominal pain, vaginal bleeding,"
Eczema,"Itchiness, red skin, rash,"
Endometriosis,"Pelvic pain, infertility,"
Epidemic Keratoconjunctivitis,"Red eye, discomfort/irritation, sensitivity to light, watering, blurred vision, discharge,"
Epilepsy,"Periods of vigorous shaking, nearly undetectable spells,"
Exposure Keratopathy,"Dryness, irritation, redness, eye pain and photophobia,"
Eyelid Varix,"None, fullness, pain in the area,"
Fibroids,"Painful or heavy periods,"
Fibromyalgia,"Widespread pain, feeling tired, sleep problems,"
Filariasis,"None, severe swelling of the arms, legs, breasts, or genitals,"
Food Poisoning,"Diarrhea, fever, abdominal cramps, vomiting,"
Frey's Syndrome,"Redness and sweating of cheek area when salivating,"
Frost Bite,"Numbness, feeling cold, clumsiness, pale color,"
Gaming disorder,"Problem gambling,, depression, social withdrawal, playing video games for extremely long periods of time,"
Gangrene,"Change in skin color to red or black, numbness, pain, skin breakdown, coolness,"
Gastro-Esophageal Reflux Disease (GERD),"Taste of acid, heartburn, bad breath, chest pain, breathing problems,"
Glaucoma,"mw-parser-output hlist dl,mw-parser-output hlist ol,mw-parser-output hlist ul{margin:0,padding:0}mw-parser-output hlist dd,mw-parser-output hlist dt,mw-parser-output hlist li{margin:0,display:inline}mw-parser-output hlistinline,mw-parser-output hlistinline dl,mw-parser-output hlistinline ol,mw-parser-output hlistinline ul,mw-parser-output hlist dl dl,mw-parser-output hlist dl ol,mw-parser-output hlist dl ul,mw-parser-output hlist ol dl,mw-parser-output hlist ol ol,mw-parser-output hlist ol ul,mw-parser-output hlist ul dl,mw-parser-output hlist ul ol,mw-parser-output hlist ul ul{display:inline}mw-parser-output hlist mw-empty-li{display:none}mw-parser-output hlist dt::after{content:"": ""}mw-parser-output hlist dd::after,mw-parser-output hlist li::after{content:"" · "",font-weight:bold}mw-parser-output hlist dd:last-child::after,mw-parser-output hlist dt:last-child::after,mw-parser-output hlist li:last-child::after{content:none}mw-parser-output hlist dd dd:first-child::before,mw-parser-output hlist dd dt:first-child::before,mw-parser-output hlist dd li:first-child::before,mw-parser-output hlist dt dd:first-child::before,mw-parser-output hlist dt dt:first-child::before,mw-parser-output hlist dt li:first-child::before,mw-parser-output hlist li dd:first-child::before,mw-parser-output hlist li dt:first-child::before,mw-parser-output hlist li li:first-child::before{content:"" ("",font-weight:normal}mw-parser-output hlist dd dd:last-child::after,mw-parser-output hlist dd dt:last-child::after,mw-parser-output hlist dd li:last-child::after,mw-parser-output hlist dt dd:last-child::after,mw-parser-output hlist dt dt:last-child::after,mw-parser-output hlist dt li:last-child::after,mw-parser-output hlist li dd:last-child::after,mw-parser-output hlist li dt:last-child::after,mw-parser-output hlist li li:last-child::after{content:"")"",font-weight:normal}mw-parser-output hlist ol{counter-reset:listitem}mw-parser-output hlist ol>li{counter-increment:listitem}mw-parser-output hlist ol>li::before{content:"" ""counter(listitem)""\a0 ""}mw-parser-output hlist dd ol>li:first-child::before,mw-parser-output hlist dt ol>li:first-child::before,mw-parser-output hlist li ol>li:first-child::before{content:"" (""counter(listitem)""\a0 ""}, Vision loss, eye pain, mid-dilated pupil, redness of the eye, nausea,"
Goitre,"Goitre,"
Gonorrhea,"None, burning with urination, vaginal discharge, discharge from the penis, pelvic pain, testicular pain,"
Guillain-Barré syndrome,"Muscle weakness beginning in the feet and hands, usually ascending,"
Haemophilia,"Easy and prolonged bleeding,"
"Hand, Foot and Mouth Disease","Fever, flat discolored spots or bumps that may blister,"
Heat-Related Illnesses and Heat waves,"High body temperature, red, dry or damp skin, headache, dizziness, confusion, nausea,"
Hepatitis,"Yellowish skin, poor appetite, abdominal pain,"
Herpes Simplex,"Blisters that break open and form small ulcers, fever, swollen lymph nodes,"
High risk pregnancy,"Missed periods, tender breasts, nausea and vomiting, hunger, frequent urination,"
Human papillomavirus (HPV) infection and cervical cancer,"None, warts,"
Hypermetropia,"Near blur, Distance and near blur, Asthenopia,"
Ichthyosis,"Very thick skin which cracks, abnormal facial features,"
Inflammatory Bowel Disease,"Abdominal pain, diarrhea (may be bloody), fever, weight loss,,"
Insomnia,"Trouble sleeping, daytime sleepiness, low energy, irritability, depressed mood,"
Japanese Encephalitis,"Headache, fever, vomiting, confusion, seizures,"
Jaundice,"Yellowish coloration of skin and sclera, itchiness,"
Kala-azar/ Leishmaniasis,"Skin ulcers, fever, low red blood cells, enlarged liver,"
Kaposi’s Sarcoma,"Purple colored skin lesions,"
Keratoconus,"Blurry vision, nearsightedness, light sensitivity,"
Lead poisoning,"Intellectual disability, abdominal pain, constipation, headaches, irritability, memory problems, inability to have children, tingling in the hands and feet,"
Leprosy,"Decreased ability to feel pain,"
Leptospirosis,"None, headaches, muscle pains, fevers,"
Leukemia,"Bleeding, bruising, fatigue, fever, increased risk of infections,"
Lymphoedema,"Swelling, pain, tenderness, erythema, limited range of motion in both ankles,"
Malaria,"Fever, vomiting, headache, yellow skin,"
Mastitis,"Localized breast pain and redness, fever,"
Measles(Khasra),"Fever, cough, runny nose, inflamed eyes, rash,"
Meningitis,"Fever, headache, neck stiffness,"
Microcephaly,"Abnormally small head and brain, neurological impairments,"
Middle East respiratory syndrome coronavirus (MERS‐CoV),"Fever, cough, shortness of breath,"
Migraine,"Headaches, nausea, sensitivity to light, sound, and smell,"
Monkeypox,"Fever, headache, muscle pains, shivering, blistering rash, swollen lymph nodes,"
Mouth Breathing,"Snoring, dry mouth, hoarse voice, bad breath, fatigue, sleep apnea,"
Mouth Ulcers,"A round, often painful sore inside the mouth that is white or gray with a red border, Tingling or burning sensation prior to sore development, Fever, sluggishness, and/or swollen lymph nodes (severe cases only),"
Mucormycosis,"Depends on location: runny nose, black area of skin, facial swelling, headache, fever, cough, blurred vision,"
Mumps,"Parotitis and non-specific symptoms such as fever, headache, malaise, muscle pain, and loss of appetite,"
Myocardial Infarction (Heart Attack),"Chest pain, shortness of breath, nausea, feeling faint, cold sweat, feeling tired, arm, neck, back, jaw, or stomach pain,"
Myopia,"Distant objects appear blurry, close objects appear normal, headaches, eye strain,"
Narcolepsy,"Excessive daytime sleepiness, involuntary sleep episodes, sudden loss of muscle strength, hallucinations,"
Nasal Polyps,"Trouble breathing through the nose, loss of smell, decreased taste, post nasal drip, runny nose,"
Nausea and Vomiting of Pregnancy and  Hyperemesis gravidarum,"Nausea and vomiting such that weight loss and dehydration occur,"
Neuralgia,"episodes of severe, sudden, shock-like pain in one side of the face that lasts for seconds to minutes,"
Nipah virus infection,"None, fever, cough, headache,diarrhea, confusion,"
Nonalcoholic fatty liver disease(NAFLD),"Asymptomatic in the early stages, In later stages:, * Deposits of cholesterol on the eye lids, * Fatigue, * Crusty red nodules, * Digestive issues, Lastly causes liver dysfunction and eventually liver failure,"
Obesity,"Increased fat,"
Obsessive Compulsive Disorder,"Feel the need to check things repeatedly, perform certain routines repeatedly, have certain thoughts repeatedly,"
Oral Cancer,"Persistent rough white or red patch in the mouth lasting longer than 2 weeks, ulceration, lumps/bumps in the neck, pain, loose teeth, difficulty swallowing,"
Orbital Haemangiopericytoma,"Painless mass,"
Orbital Varix,"Internal bleeding,"
Osteoarthritis,"Joint pain, stiffness, joint swelling, decreased range of motion,"
Osteomyelitis,"Pain in a specific bone, overlying redness, fever, weakness,"
Osteoporosis,"Increased risk of a broken bone,"
Otitis Media,"Ear pain, fever, hearing loss,"
Parkinson's Disease,"Tremor, rigidity, slowness of movement, difficulty walking,"
Pellucid Marginal Degeneration,"Vision loss,"
Pericarditis,"Sharp chest pain, better sitting up and worse with lying down, fever,"
Pharyngoconjunctival Fever,"Upper respiratory: nasal congestion, coryza, cough, wheeze, fast breathing, General: fever, tiredness, chills, muscle aches, headache, tummy ache, tonsillitis, lymphadenopathy, Pharyngoconjunctival fever: pinky-red eyes, fever, sore throat, Keratoconjunctivitis: red painful eye, poor vision, intolerance to light, watery eyes, discharge, swelling of the conjunctiva, Gastroenteritis: diarrhoea, vomiting, tummy ache,, Urinary tract infection: Burning and increase frequency of passing urine,"
Plague,"Fever, weakness, headache,"
Pneumonia,"Cough, shortness of breath, chest pain, fever,"
Poliomyelitis,"Fever, sore throat,"
Polycystic ovary syndrome (PCOS),"Irregular menstrual periods, heavy periods, excess hair, acne, pelvic pain, difficulty getting pregnant, patches of thick, darker, velvety skin,"
Post-herpetic neuralgia,"burning or stabbing pain, pain doesn't end after the shingles subsides,"
Postpartum depression/ Perinatal depression,"Extreme sadness, low energy, anxiety, changes in sleeping or eating patterns, crying episodes, irritability,"
Postpartum haemorrhage,"Significant blood loss after childbirth, increased heart rate, feeling faint upon standing, increased breath rate,"
Preeclampsia,"High blood pressure, protein in the urine,"
Premenstrual syndrome,"Fatigue, irritability and other mood changes, tender breasts, abdominal bloating,"
Presbyopia,"Difficulty reading small print, having to hold reading material farther away, headaches, eyestrain,"
Preterm birth,"Birth of a baby at younger than 37 weeks' gestational age,"
Psoriasis,"Red (purple on darker skin), itchy, scaly patches of skin,"
Pterygium,"Pinkish, triangular tissue growth on the cornea,"
Puerperal sepsis,"Fever, lower abdominal pain, bad-smelling vaginal discharge,"
Quinsy,"Fever, throat pain, trouble opening the mouth, change to the voice,"
Rabies,"Fever, fear of water, confusion, excessive salivary secretion, hallucinations, disrupted sleep, paralysis, coma,,"
Raynaud's Phenomenon,"An affected part turning white, then blue, then red, burning,"
Rheumatic fever and rheumatic heart disease,"Fever, multiple painful joints, involuntary muscle movements, erythema marginatum,"
Rubella,"Rash, swollen lymph nodes, fever, sore throat, feeling tired,"
Sarcoidosis,"Depends on the organ involved,"
Scabies,"itchiness, pimple-like rash,"
Schizophrenia,"Hallucinations (usually hearing voices), delusions, confused thinking,"
Scrub Typhus,"Fever, headache, rash,"
Scurvy,"Weakness, feeling tired, changes to hair, sore arms and legs, gum disease, easy bleeding,"
Severe Acute Respiratory Syndrome (SARS),"Fever, persistent dry cough, headache, muscle pains, difficulty breathing,"
Sexually transmitted infections (STIs),"None, vaginal discharge, penile discharge, ulcers on or around the genitals, pelvic pain,"
Shaken Baby Syndrome,"Variable,"
Spinal cord Injury,"Numbness, weakness, abnormal reflexes, loss of bladder or bowel control, neck pain,"
Stroke,"Inability to move or feel on one side of the body, problems understanding or speaking, dizziness, loss of vision to one side,"
Sub-conjunctival Haemorrhage,"Red spot over whites of the eye, little to no pain,"
Substance abuse,"Excessive use of drugs despite negative consequences,"
Superior Limbic Keratoconjunctivitis,"Eye redness, burning sensation, tearing,"
Syphilis,"Firm, painless, non-itchy skin ulcer,"
Taeniasis/cysticercosis,"1–2 cm lumps under the skin,"
Tetanus,"fever, cramped-up jaw, muscle spasms, headache, seizures, sweating, and trouble swallowing,"
Thalassaemia,"Feeling tired, pale skin, enlarged spleen, yellowish skin, dark urine,"
Tics and Eye Manifestations,"Tics,"
Trachoma,"Eye pain, blindness,"
Tuberculosis,"Chronic cough, fever, cough with bloody mucus, weight loss,"
Turners Syndrome,"Webbed neck, short stature, swollen hands and feet,"
Typhoid / Enteric Fever,"Fever that starts low and increases daily, possibly reaching as high as 1049 °F (405 °C) Headache, weakness and fatigue, muscle aches, sweating, dry cough, loss of appetite, weight loss, stomach pain, diarrhea or constipation, rash, swollen stomach (enlarged liver or spleen),"
Ulcerative Colitis,"Abdominal pain, diarrhea mixed with blood, weight loss, fever, anemia,,"
Urticaria,"Red, raised, itchy bumps,"
Vitamin B12 Deficiency,"Decreased ability to think, feeling tired, anemia, abnormal sensations, depression, irritability, changes in reflexes,"
Vitiligo,"Patches of white skin,"
West Nile fever,"None, fever, headache, vomiting or diarrhea and muscle aches rash,"
Xerophthalmia,"Night blindness,"
Yaws,"Hard swelling of the skin, ulcer, joint and bone pain,"
Yellow Fever,"Fever, chills, muscle pain, headache, yellow skin,"
Zika virus disease,"Fever, red eyes, joint pain, headache, maculopapular rash, Sometimes none,"
lactose intolerance,"Abdominal pain, bloating, diarrhea, flatulence, nausea,"
